data;data_doy
2022-10-01;2022.7486338798
2022-11-01;2022.8333333333
2022-12-01;2022.9153005464
2023-1-01;2023.0027322404
2023-2-01;2023.087431694
2023-3-01;2023.1639344262
2023-4-01;2023.2486338798
2023-5-01;2023.3306010929
2023-6-01;2023.4153005464
2023-7-01;2023.4972677596
2023-8-01;2023.5819672131
2023-9-01;2023.6666666667
2023-10-01;2023.7486338798
2023-11-01;2023.8333333333
2023-12-01;2023.9153005464
2024-1-01;2024.0027322404
2024-2-01;2024.087431694
2024-3-01;2024.1666666667
2024-4-01;2024.2513661202
2024-5-01;2024.3333333333
2024-6-01;2024.4180327869
2024-7-01;2024.5
2024-8-01;2024.5846994536
2024-9-01;2024.6693989071
2024-10-01;2024.7513661202
2024-11-01;2024.8360655738
2024-12-01;2024.9180327869
2025-1-01;2025.0027322404
2025-2-01;2025.087431694
2025-3-01;2025.1639344262
2025-4-01;2025.2486338798
2025-5-01;2025.3306010929
2025-6-01;2025.4153005464
2025-7-01;2025.4972677596
2025-8-01;2025.5819672131
2025-9-01;2025.6666666667
2025-10-01;2025.7486338798
2025-11-01;2025.8333333333
2025-12-01;2025.9153005464
2026-1-01;2026.0027322404
2026-2-01;2026.087431694
2026-3-01;2026.1639344262
2026-4-01;2026.2486338798
2026-5-01;2026.3306010929
2026-6-01;2026.4153005464
2026-7-01;2026.4972677596
2026-8-01;2026.5819672131
2026-9-01;2026.6666666667
2026-10-01;2026.7486338798
2026-11-01;2026.8333333333
2026-12-01;2026.9153005464
2027-1-01;2027.0027322404
2027-2-01;2027.087431694
2027-3-01;2027.1639344262
2027-4-01;2027.2486338798
2027-5-01;2027.3306010929
2027-6-01;2027.4153005464
2027-7-01;2027.4972677596
2027-8-01;2027.5819672131
2027-9-01;2027.6666666667
2027-10-01;2027.7486338798
2027-11-01;2027.8333333333
2027-12-01;2027.9153005464
2028-1-01;2028.0027322404
2028-2-01;2028.087431694
2028-3-01;2028.1666666667
2028-4-01;2028.2513661202
2028-5-01;2028.3333333333
2028-6-01;2028.4180327869
2028-7-01;2028.5
2028-8-01;2028.5846994536
2028-9-01;2028.6693989071
2028-10-01;2028.7513661202
2028-11-01;2028.8360655738
2028-12-01;2028.9180327869
2029-1-01;2029.0027322404
2029-2-01;2029.087431694
2029-3-01;2029.1639344262
2029-4-01;2029.2486338798
2029-5-01;2029.3306010929
2029-6-01;2029.4153005464
2029-7-01;2029.4972677596
2029-8-01;2029.5819672131
2029-9-01;2029.6666666667
2029-10-01;2029.7486338798
2029-11-01;2029.8333333333
2029-12-01;2029.9153005464
2030-1-01;2030.0027322404
2030-2-01;2030.087431694
2030-3-01;2030.1639344262
2030-4-01;2030.2486338798
2030-5-01;2030.3306010929
2030-6-01;2030.4153005464
2030-7-01;2030.4972677596
2030-8-01;2030.5819672131
2030-9-01;2030.6666666667
2030-10-01;2030.7486338798
2030-11-01;2030.8333333333
2030-12-01;2030.9153005464
2031-1-01;2031.0027322404
2031-2-01;2031.087431694
2031-3-01;2031.1639344262
2031-4-01;2031.2486338798
2031-5-01;2031.3306010929
2031-6-01;2031.4153005464
2031-7-01;2031.4972677596
2031-8-01;2031.5819672131
2031-9-01;2031.6666666667
2031-10-01;2031.7486338798
2031-11-01;2031.8333333333
2031-12-01;2031.9153005464
2032-1-01;2032.0027322404
2032-2-01;2032.087431694
2032-3-01;2032.1666666667
2032-4-01;2032.2513661202
2032-5-01;2032.3333333333
2032-6-01;2032.4180327869
2032-7-01;2032.5
2032-8-01;2032.5846994536
2032-9-01;2032.6693989071
2032-10-01;2032.7513661202
2032-11-01;2032.8360655738
2032-12-01;2032.9180327869
2033-1-01;2033.0027322404
2033-2-01;2033.087431694
2033-3-01;2033.1639344262
2033-4-01;2033.2486338798
2033-5-01;2033.3306010929
2033-6-01;2033.4153005464
2033-7-01;2033.4972677596
2033-8-01;2033.5819672131
2033-9-01;2033.6666666667
2033-10-01;2033.7486338798
2033-11-01;2033.8333333333
2033-12-01;2033.9153005464
2034-1-01;2034.0027322404
2034-2-01;2034.087431694
2034-3-01;2034.1639344262
2034-4-01;2034.2486338798
2034-5-01;2034.3306010929
2034-6-01;2034.4153005464
2034-7-01;2034.4972677596
2034-8-01;2034.5819672131
2034-9-01;2034.6666666667
2034-10-01;2034.7486338798
2034-11-01;2034.8333333333
2034-12-01;2034.9153005464
2035-1-01;2035.0027322404
2035-2-01;2035.087431694
2035-3-01;2035.1639344262
2035-4-01;2035.2486338798
2035-5-01;2035.3306010929
2035-6-01;2035.4153005464
2035-7-01;2035.4972677596
2035-8-01;2035.5819672131
2035-9-01;2035.6666666667
2035-10-01;2035.7486338798
2035-11-01;2035.8333333333
2035-12-01;2035.9153005464
2036-1-01;2036.0027322404
2036-2-01;2036.087431694
2036-3-01;2036.1666666667
2036-4-01;2036.2513661202
2036-5-01;2036.3333333333
2036-6-01;2036.4180327869
2036-7-01;2036.5
2036-8-01;2036.5846994536
2036-9-01;2036.6693989071
2036-10-01;2036.7513661202
2036-11-01;2036.8360655738
2036-12-01;2036.9180327869
2037-1-01;2037.0027322404
2037-2-01;2037.087431694
2037-3-01;2037.1639344262
2037-4-01;2037.2486338798
2037-5-01;2037.3306010929
